sqft_living,city_Seattle,sqft_lot,sqft_above,city_Bellevue,yr_built,house_age,city_Redmond,since_renovation,bathrooms,city_Kirkland,view,city_Issaquah,statezip_WA 98178,city_Auburn,city_Kent,city_Federal Way,statezip_WA 98040,sqft_basement,city_Renton,log_price
1340.0,0.0,7912.0,1340.0,0.0,1955.0,59.0,0.0,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65395846952229
1930.0,0.0,11947.0,1930.0,0.0,1966.0,48.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.742566016044742
2000.0,0.0,8030.0,1000.0,1.0,1963.0,51.0,0.0,51.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,12.948009990259552
1940.0,0.0,10500.0,1140.0,0.0,1976.0,38.0,1.0,22.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,13.217673557208654
880.0,1.0,6380.0,880.0,0.0,1938.0,76.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.102160670086809
1350.0,0.0,2560.0,1350.0,0.0,1976.0,38.0,1.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.721885810807203
1520.0,1.0,6200.0,1520.0,0.0,1945.0,69.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.369223455335854
1710.0,0.0,7320.0,1710.0,0.0,1948.0,66.0,0.0,20.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.045482333068371
2920.0,1.0,4000.0,1910.0,0.0,1909.0,105.0,0.0,26.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,14.151982794585487
2330.0,0.0,14892.0,1970.0,0.0,1980.0,34.0,0.0,34.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,13.285332205682469
1090.0,1.0,6435.0,1090.0,0.0,1955.0,59.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.80765263256463
2910.0,1.0,9480.0,2910.0,0.0,1939.0,75.0,0.0,45.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.997832114758229
1200.0,0.0,9720.0,1200.0,0.0,1965.0,49.0,0.0,49.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.398756989359676
1570.0,0.0,6700.0,1570.0,1.0,1956.0,58.0,0.0,58.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.945626198904275
3110.0,0.0,7231.0,3110.0,0.0,1997.0,17.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.814478597635029
